UserId,SessionId,ItemId,Category,English,Bulgarian,Chosen,Correct,ResponseTimeSec,AttemptNumber,QuestionType,Timestamp
local_user,cc526d0f-1988-4f41-a852-4a834bbeebe2,66ea03f7a9d9,Phrases,Good evening,Добър вечер,Добър вечер,TRUE,7.61,1,MCQ,2025-11-15T15:24:42.291979
local_user,cc526d0f-1988-4f41-a852-4a834bbeebe2,655ee95a9efe,Pronouns,her,ѝ,ѝ,TRUE,20.14,1,MCQ,2025-11-15T15:24:54.820784
local_user,cc526d0f-1988-4f41-a852-4a834bbeebe2,e85aceb158f6,Sports,boxing,бокс,бокс,TRUE,28.89,1,MCQ,2025-11-15T15:25:03.569982
local_user,cc526d0f-1988-4f41-a852-4a834bbeebe2,7db831206e65,Numbers,22,двадесет и две,двадесет и две,TRUE,34.23,1,MCQ,2025-11-15T15:25:08.911770
local_user,cc526d0f-1988-4f41-a852-4a834bbeebe2,24d05fb4a6dd,Education,exam/test,изпит,плуване,FALSE,46.86,1,MCQ,2025-11-15T15:25:21.548835
local_user,51aca601-a130-45e5-b7a9-f29c40394ef7,7364d06c8f1e,Greetings & Basics,Hello. (inf.),Здравей.,Здравей.,TRUE,24.68,1,MCQ,2025-11-23T13:12:33.735576
local_user,51aca601-a130-45e5-b7a9-f29c40394ef7,fdcd855efaf5,Daily Routine,I wash the dishes.,Мия чиниите.,Мия чиниите.,TRUE,39.3,1,MCQ,2025-11-23T13:12:48.357280
local_user,51aca601-a130-45e5-b7a9-f29c40394ef7,d707fd363855,Professions,nurse,медицинска сестра,медицинска сестра,TRUE,58.8,1,MCQ,2025-11-23T13:13:07.863564
local_user,51aca601-a130-45e5-b7a9-f29c40394ef7,72befa9e2843,Travel,I want to see the fortress.,Искам да видя крепостта.,Искам да видя крепостта.,TRUE,108.37,1,MCQ,2025-11-23T13:13:57.434067
local_user,841e4091-af24-465a-8c6a-4a752806af58,4ec5726bece1,Clothing,socks,чорапи,чорапи,TRUE,12.22,1,MCQ,2025-11-23T13:15:44.653061
local_user,a9761ceb-0cae-4f44-8ecb-a91ef5ac73af,cb8e51fcfd69,Inimacy,I want to kiss you.,Искам да те целувам.,Искам да те целувам.,TRUE,10.27,1,MCQ,2025-11-23T13:24:37.264206
local_user,a9761ceb-0cae-4f44-8ecb-a91ef5ac73af,ad77527b6208,Health,headache,главоболие,главоболие,TRUE,25.16,1,MCQ,2025-11-23T13:24:52.153287
