Category,Bulgarian,Pronunciation,English
Accommodation,Имам резервация.,I-mam re-zer-va-tsi-ya.,I have a reservation.
Accommodation,Искам стая.,Is-kam sta-ya.,I want a room.
Accommodation,За една нощ.,Za ed-na nosht.,For one night.
Accommodation,Колко струва на вечер?,Kol-ko stroo-va na ve-cher?,How much per night?
Accommodation,Ключът,kluchet,key
Accommodation,Къде е хотелът?,Ka-de e ho-te-lat?,Where is the hotel?
Accommodation,Безшумен съм.,Bez-shoo-men sam.,I am quiet
Accommodation,Не работи.,Ne ra-bo-ti.,It doesn't work.
Colours,Какъв е любимият ти цвят?,Kakǎv e lyubimiyat ti tsvyat?,What is your favourite colour?
Colours,Цветът е червен.,Tsvetǎt e cherven.,The colour is red.
Colours,Това е синьо.,Tova e sinyo.,This is blue.
Colours,Зелената врата,Zelenata vrata,The green door
Colours,Жълтата кола,Zhǎltata kola,The yellow car
Colours,Черна риза,Cherna riza,Black shirt
Colours,Бяла къща,Byala kǎshta,White house
Colours,Оранжево слънце,Oranzhevo slǎntse,Orange sun
Colours,Лилави цветя,Lilavi tsvetya,Purple flowers
Colours,Розова рокля,Rozova roklya,Pink dress
Colours,Сив облак,Siv oblak,Grey cloud
Colours,Кафяво куче,Kafyavo kuche,Brown dog
Colours,Тъмно синьо,Tǎmno sinyo,Dark blue
Colours,Светло зелено,Svetlo zeleno,Light green
Colours,Цветът е ярък.,Tsvetǎt e yǎrǎk,The colour is bright.
Colours,Цветът е тъмен.,Tsvetǎt e tǎmen,The colour is dark.
Colours,Харесвам този цвят.,Kharesvam tozi tsvyat,I like this colour.
Colours,Това е любимият ми цвят.,Tova e lyubimiyat mi tsvyat,This is my favourite colour.
Colours,Цветовете са красиви.,Tsvetovete sa krasivi,The colours are beautiful.
Colours,Какъв цвят е това?,Kakǎv tsvyat e tova?,What colour is this?
Colours,Виждам всичко в розово.,Vizhdam vsichko v rozovo.,I see everything in pink (I’m optimistic).
Colours,Почернях от яд.,Pochernyakh ot yad.,I turned black with anger.
Colours,Позеленях от завист.,Pozelenyakh ot zavist.,I turned green with envy.
Colours,Изчервих се.,Izchervikh se.,I blushed (turned red).
Colours,Сивото ежедневие.,Sivoto ezhednevie.,The grey daily routine.
Colours,Черно на бяло.,Cherno na byalo.,"Black on white (clear, written proof)."
Colours,Да видим нещата в цветове.,Da vidim neshtata v tsvetove.,Let’s see things in colour (positively).
Colours,Животът е шарен.,Zhivotǎt e sharen.,Life is colourful (full of variety).
Colours,Бял късмет.,Byal kǎsmet.,White luck (good fortune).
Colours,Да сложим малко цвят.,Da slozhim malko tsvyat.,Let’s add some colour (make it lively).
Common Questions,Кой?,Koy?,Who?
Common Questions,Какво?,Kak-vo?,What?
Common Questions,Къде?,Ka-de?,Where?
Common Questions,Кога?,Ko-ga?,When?
Common Questions,Защо?,Za-shto?,Why?
Common Questions,Как?,Kak?,How?
Common Questions,Кой е?,Koy e?,Who is it?
Common Questions,Какво е това?,Kak-vo e to-va?,What is that?
Common Questions,Може ли?,Mo-zhe li?,Can I? / Is it possible?
Common Questions,Има ли проблем?,I-ma li prob-lem?,Is there a problem?
Daily Routine,Събуждам се.,Sŭ-bu-zh-dam se.,I wake up.
Daily Routine,Ставам от леглото.,Sta-vam ot le-gloto.,I get out of bed.
Daily Routine,Правя закуска.,Pra-vya za-koo-ska.,I make breakfast.
Daily Routine,Пия кафе.,Pi-ya ka-fe.,I drink coffee.
Daily Routine,Мия зъбите.,Mi-ya zŭ-bi-te.,I brush my teeth.
Daily Routine,Взимам душ.,Vzi-mam dush.,I take a shower.
Daily Routine,Обличам се.,Ob-li-cham se.,I get dressed.
Daily Routine,Отивам на работа.,O-ti-vam na ra-bo-ta.,I go to work.
Daily Routine,Връщам се вкъщи.,Vrŭshtam se vkŭshti.,I come back home.
Daily Routine,Приготвям обяд.,Pri-go-tvyaam o-byad.,I prepare lunch.
Daily Routine,Готвя вечеря.,Got-vya ve-che-rya.,I cook dinner.
Daily Routine,Мия чиниите.,Mi-ya chi-ni-i-te.,I wash the dishes.
Daily Routine,Пускам пералнята.,Pus-kam pe-ral-nyata.,I start the washing machine.
Daily Routine,Сортирам дрехите.,Sor-ti-ram dre-khi-te.,I sort the clothes.
Daily Routine,Разхождам кучето.,Raz-hozh-dam ku-che-to.,I walk the dog.
Daily Routine,Чета имейли.,Che-ta i-mey-li.,I read/check emails.
Daily Routine,Правя почивка.,Pra-vya po-chiv-ka.,I take a break.
Daily Routine,Задавам аларма.,Za-da-vam a-lar-ma.,I set the alarm.
Daily Routine,Лягам си.,Lyagam si.,I go to bed.
Daily Routine,Поливам растенията.,Po-li-vam ras-te-ni-ya-ta.,I water the plants.
Directions & Travel,Къде е най-близката спирка?,Ka-de e nai-bli-zka-ta spir-ka?,Where is the nearest stop?
Directions & Travel,Къде е гарата?,Ka-de e ga-ra-ta?,Where is the train station?
Directions & Travel,Къде е летището?,Ka-de e le-tish-te-to?,Where is the airport?
Directions & Travel,Къде е автобусната спирка?,Ka-de e av-to-bus-na-ta spir-ka?,Where is the bus stop?
Directions & Travel,Къде е метрото?,Ka-de e me-tro-to?,Where is the metro?
Directions & Travel,Къде е изходът?,Ka-de e iz-hod-ŭt?,Where is the exit?
Directions & Travel,Къде е входът?,Ka-de e vkhod-ŭt?,Where is the entrance?
Directions & Travel,Къде е паркингът?,Ka-de e par-king-ŭt?,Where is the parking lot?
Directions & Travel,Къде е таксито?,Ka-de e tak-si-to?,Where is the taxi?
Directions & Travel,Мога ли да взема такси?,Mo-ga li da vze-ma tak-si?,Can I take a taxi?
Directions & Travel,Колко струва пътуването?,Kol-ko stru-va pa-tu-va-ne-to?,How much is the trip?
Directions & Travel,Колко време отнема?,Kol-ko vre-me ot-ne-ma?,How long does it take?
Directions & Travel,Има ли автобус до там?,I-ma li av-to-bus do tam?,Is there a bus to there?
Directions & Travel,Кой номер автобус трябва да взема?,Koy no-mer av-to-bus tryab-va da vze-ma?,Which bus number should I take?
Directions & Travel,Къде трябва да сляза?,Ka-de tryab-va da slya-za?,Where should I get off?
Directions & Travel,Това ли е правилният път?,To-va li e pra-vil-niyat pŭt?,Is this the right way?
Directions & Travel,Загубих се.,Za-goo-bih se.,I'm lost.
Directions & Travel,Можете ли да ми покажете на картата?,Mo-zhe-te li da mi po-ka-zhe-te na kar-ta-ta?,Can you show me on the map?
Directions & Travel,Има ли влак до София?,I-ma li vlak do So-fi-ya?,Is there a train to Sofia?
Directions & Travel,Кога тръгва следващият автобус?,Ko-ga trŭg-va sled-vash-ti-yat av-to-bus?,When does the next bus leave?
Emergencies & Health,Помощ!,Po-mosht!,Help!
Emergencies & Health,Извикайте полиция!,Iz-vi-kai-te po-li-tsi-ya!,Call the police!
Emergencies & Health,Извикайте линейка!,Iz-vi-kai-te li-ney-ka!,Call an ambulance!
Emergencies & Health,Болен съм.,Bo-len sam.,I am sick. (m.)
Emergencies & Health,Болна съм.,Bol-na sam.,I am sick. (f.)
Emergencies & Health,Къде е аптеката?,Ka-de e ap-te-ka-ta?,Where is the pharmacy?
Emergencies & Health,Увлякох си крака.,Oo-vlya-koh si kra-ka.,I sprained my ankle.
Emergencies & Health,Главоболие ме е.,Gla-vo-bo-li-e me e.,I have a headache.
Emergencies & Health,Загубих си паспорта.,Za-goo-bih si pas-por-ta.,I lost my passport.
Expressions & Feelings,Супер!,Soo-per!,Great! / Super!
Expressions & Feelings,Страхотно!,Stra-hot-no!,Awesome!
Expressions & Feelings,Жалко.,Zhal-ko.,Too bad. / What a pity.
Expressions & Feelings,Вярно ли е?,Vyar-no li e?,Is it true?
Expressions & Feelings,Не вярвам.,Ne vyar-vam.,I don't believe it.
Expressions & Feelings,Харесва ми.,Ha-re-sva mi.,I like it.
Expressions & Feelings,Не ми харесва.,Ne mi ha-re-sva.,I don't like it.
