Category,Bulgarian,Transliteration,English,Grammar_Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7
Adjectives,голям,golyam,big,Masculine form,,,
Adjectives,голяма,golyama,big,Feminine form,,,
Adjectives,голямо,golyamo,big,Neuter form,,,
Adjectives,малък,malŭk,small,Masculine,,,
Adjectives,малка,malka,small,Feminine,,,
Adjectives,малко,malko,small,Neuter,,,
Adjectives,добър,dobŭr,good,Masculine,,,
Adjectives,добра,dobra,good,Feminine,,,
Adjectives,добро,dobro,good,Neuter,,,
Adjectives,нов,nov,new,Masculine,,,
Adjectives,нова,nova,new,Feminine,,,
Adjectives,ново,novo,new,Neuter,,,
Adjectives,стар,star,old,Masculine,,,
Adjectives,стара,stara,old,Feminine,,,
Adjectives,старо,star,old,Neuter,,,
Adjectives,голям,golyam,big (masculine),-,,,
Adjectives,голяма,golyama,big (feminine),Adjectives agree in gender.,,,
Adjectives,голямо,golyamo,big (neuter),-,,,
Adjectives,малък,malŭk,small (masculine),-,,,
Adjectives,малка,malka,small (feminine),-,,,
Adjectives,малко,malko,small (neuter),-,,,
Adjectives,добър,dobŭr,good (masculine),-,,,
Adjectives,добра,dobra,good (feminine),-,,,
Adjectives,добро,dobro,good (neuter),-,,,
Adverb,бързо,bŭrzo,quickly,-,,,
Adverb,бавно,bavno,slowly,-,,,
Adverb,добре,dobre,well,-,,,
Adverb,лошо,losho,badly,-,,,
Adverb,лесно,lesno,easily,-,,,
Adverb,трудно,trudno,difficultly,-,,,
Adverb,често,chesto,often,-,,,
Adverb,рядко,ryadko,rarely,-,,,
Adverb,винаги,vinagi,always,-,,,
Adverb,никога,nikoga,never,-,,,
Adverb,тук,tuk,here,-,,,
Adverb,там,tam,there,-,,,
Alphabet,А,а,a,"Like ""a"" in ""father""",,,
Alphabet,Б,б,b,"Like ""b"" in ""bed""",,,
Alphabet,В,в,v,"Like ""v"" in ""victory""",,,
Alphabet,Г,г,g,"Like ""g"" in ""go""",,,
Alphabet,Д,д,d,"Like ""d"" in ""dog""",,,
Alphabet,Е,е,e,"Like ""e"" in ""met""",,,
Alphabet,Ж,ж,zh,"Like ""s"" in ""pleasure""",,,
Alphabet,З,з,z,"Like ""z"" in ""zoo""",,,
Alphabet,И,и,i,"Like ""i"" in ""machine""",,,
Alphabet,Й,й,y,"Like ""y"" in ""boy""",,,
Alphabet,К,к,k,"Like ""k"" in ""kite""",,,
Alphabet,Л,л,l,"Like ""l"" in ""love""",,,
Alphabet,М,м,m,"Like ""m"" in ""mother""",,,
Alphabet,Н,н,n,"Like ""n"" in ""no""",,,
Alphabet,О,о,o,"Like ""o"" in ""more""",,,
Alphabet,П,п,p,"Like ""p"" in ""pet""",,,
Alphabet,Р,р,r,"Rolled ""r"" as in Spanish ""pero""",,,
Alphabet,С,с,s,"Like ""s"" in ""sun""",,,
Alphabet,Т,т,t,"Like ""t"" in ""top""",,,
Alphabet,У,у,u,"Like ""oo"" in ""boot""",,,
Alphabet,Ф,ф,f,"Like ""f"" in ""face""",,,
Alphabet,Х,х,h,"Like ""ch"" in Scottish ""loch""",,,
Alphabet,Ц,ц,ts,"Like ""ts"" in ""cats""",,,
Alphabet,Ч,ч,ch,"Like ""ch"" in ""chat""",,,
Alphabet,Ш,ш,sh,"Like ""sh"" in ""ship""",,,
Alphabet,Щ,щ,sht,"Like ""sht"" in ""freshly pressed""",,,
Alphabet,Ъ,ъ,ǎ,u,"Like ""u"" in ""but"" or ""turn""",,
Alphabet,Ь,ь,ʹ,Soft sign (no sound, palatalizes preceding consonant),,
Alphabet,Ю,ю,yu,"Like ""u"" in ""use"" or ""yoo""",,,
Alphabet,Я,я,ya,"Like ""ya"" in ""yard""",,,
Animals,куче,kuche,dog,-,,,
Animals,котка,kotka,cat,-,,,
Animals,кон,kon,horse,-,,,
Animals,крава,krava,cow,-,,,
Animals,птица,ptitsa,bird,-,,,
Animals,риба,riba,fish,-,,,
Animals,мечка,mechka,bear,-,,,
Animals,вълк,vŭlk,wolf,-,,,
Animals,лисица,lisitsa,fox,-,,,
Animals,заек,zaek,rabbit,-,,,
Animals,слон,slon,elephant,-,,,
Animals,лъв,lŭv,lion,-,,,
Animals,тигър,tigŭr,tiger,-,,,
Animals,маймуна,maymuna,monkey,-,,,
Animals,змия,zmiya,snake,-,,,
Articles,моливът,molivŭt,the pencil,Definite article masc,,,
Articles,книгата,knigata,the book,Definite article fem,,,
Articles,детето,deteto,the child,Definite article neut,,,
Articles,един,edin,a/one,Indefinite article masc,,,
Articles,една,edna,a/one,Indefinite article fem,,,
Articles,едно,edno,a/one,Indefinite article neut,,,
Articles,моливът,molivŭt,the pencil,Definite article for masculine nouns (subject).,,,
Articles,книгата,knigata,the book,Definite article for feminine nouns.,,,
Articles,детето,deteto,the child,Definite article for neuter nouns.,,,
Articles,един,edin,a/one,Indefinite article for masculine.,,,
Articles,една,edna,a/one,Indefinite article for feminine.,,,
Articles,едно,edno,a/one,Indefinite article for neuter.,,,
Body Part,глава,glava,head,Feminine noun,,,
Body Part,ръка,rŭka,arm/hand,Feminine noun,,,
Body Part,крак,krak,leg/foot,Masculine noun,,,
Body Part,око,oko,eye,Neuter noun,,,
Body Part,ухо,uho,ear,Neuter noun,,,
Body Part,нос,nos,nose,Masculine noun,,,
