Category,Bulgarian Phrase,Pronunciation,English Translation
 General convo,"Здравей, как си?","Zdra-vey, kak si?","Hi, how are you?"
 General convo,"Добре съм, благодаря. А ти?","Do-bre sŭm, bla-go-da-rya. A ti?","I’m fine, thank you. And you?"
 General convo,"И аз съм добре. Хубав ден, нали?","I az sŭm do-bre. Khu-bav den, na-li?","I’m good too. Nice day, isn’t it?"
 General convo,"Да, прекрасно време за кафе.","Da, prek-ras-no vre-me za ka-fe.","Yes, perfect weather for coffee."
 General convo,Какво ще пиеш?,Kak-vo shte pi-esh?,What will you drink?
 General convo,"Един капучино, моля.","E-din ka-pu-chi-no, molya.","A cappuccino, please."
 General convo,И аз съм за капучино.,I az sŭm za ka-pu-chi-no.,I’ll have a cappuccino too.
 General convo,Често ли идваш тук?,Ches-to li id-vash tuk?,Do you come here often?
 General convo,"Да, обичам това място.","Da, o-bi-cham to-va myas-to.","Yes, I love this place."
 General convo,Може би ще се видим пак.,Mo-zhe bi shte se vi-dim pak.,Maybe we’ll meet again.
 General convo,С удоволствие.,S u-do-vol-stvie.,With pleasure.
 Buying property convo,Търся апартамент в този район.,Tŭr-sya a-par-ta-ment v to-zi ra-yon.,I'm looking for an apartment in this area.
 Buying property convo,Какъв тип жилище ви интересува?,Ka-kŭv tip zhi-lish-te vi in-te-re-su-va?,What type of property are you interested in?
 Buying property convo,Предпочитам двустаен апартамент.,Pred-po-chi-tam dvus-ta-en a-par-ta-ment.,I prefer a two-room apartment.
 Buying property convo,Има няколко обяви наблизо.,I-ma nyakol-ko o-byavi na-bli-zo.,There are a few listings nearby.
 Buying property convo,Може ли да ги видим?,Mo-zhe li da gi vi-dim?,Can we see them?
 Buying property convo,Разбира се. Кога ви е удобно?,Raz-bi-ra se. Ko-ga vi e u-dob-no?,Of course. When is convenient for you?
 Buying property convo,Утре следобед ще е добре.,U-tre sled-o-bed shte e do-bre.,Tomorrow afternoon would be good.
 Buying property convo,Има ли нещо задължително за вас?,I-ma li ne-shto za-dŭl-zhit-el-no za vas?,Is there anything essential for you?
 Buying property convo,Да има балкон и добра светлина.,Da ima bal-kon i do-bra svet-li-na.,A balcony and good light are important.
 Buying property convo,Този апартамент има и двете.,To-zi a-par-ta-ment i-ma i dve-te.,This apartment has both.
 Buying property convo,Колко струва?,Kol-ko stru-va?,How much does it cost?
 Buying property convo,Цената е 150 хиляди лева.,Tse-na-ta e sto i pe-deset hi-lya-di le-va.,"The price is 150,000 leva."
 Buying property convo,Включени ли са мебелите?,Vklyu-che-ni li sa me-be-li-te?,Are the furnishings included?
 Buying property convo,"Да, всичко е включено.","Da, vsich-ko e vklyu-che-no.","Yes, everything is included."
 Buying property convo,Какъв е месечният данък?,Ka-kŭv e me-sech-ni-yat da-nak?,What is the monthly tax?
 Buying property convo,Около сто лева на месец.,O-ko-lo sto le-va na me-setz.,Around 100 leva per month.
 Buying property convo,Има ли паркинг?,I-ma li par-king?,Is there parking?
 Buying property convo,"Да, има място за една кола.","Da, i-ma myas-to za ed-na ko-la.","Yes, there's space for one car."
 Buying property convo,Мога ли да говоря с агента?,Mo-ga li da go-vo-rya s a-gen-ta?,Can I speak with the agent?
 Buying property convo,Ще ви дам неговия номер.,Shte vi dam ne-go-vi-ya no-mer.,I'll give you his number.
 Buying property convo,Благодаря за помощта.,Bla-go-da-rya za po-mosh-ta.,Thank you for your help.
 Buying property convo,На ваше разположение съм.,Na va-she raz-po-lo-zhe-nie sŭm.,I'm at your service.
 Psychology convo,Напоследък се чувствам напрегнат.,Na-pos-le-dŭk se chuvs-tvam na-preg-nat.,Lately I’ve been feeling tense.
 Psychology convo,"Има ли нещо конкретно, което те притеснява?","I-ma li ne-shto kon-kret-no, ko-e-to te pri-te-snya-va?",Is there something specific that’s bothering you?
 Psychology convo,Работата ми е много натоварена.,Ra-bo-ta-ta mi e mno-go na-to-va-re-na.,My job is very demanding.
 Psychology convo,Разбирам. Стресът може да бъде изтощителен.,Raz-bi-ram. Stres-ŭt mo-zhe da bŭ-de iz-tosh-chi-te-len.,I understand. Stress can be exhausting.
 Psychology convo,Понякога ми е трудно да се отпусна.,Po-nyak-o-ga mi e trud-no da se ot-pus-na.,Sometimes it’s hard for me to relax.
 Psychology convo,Опитвала ли си медитация или дълбоко дишане?,O-pit-va-la li si me-di-ta-tsi-ya i-li dŭl-bo-ko di-sha-ne?,Have you tried meditation or deep breathing?
 Psychology convo,"Да, но не винаги ми помага.","Da, no ne vi-na-gi mi po-ma-ga.","Yes, but it doesn’t always help."
 Psychology convo,Може би разходка сред природата ще ти подейства добре.,Mo-zhe bi raz-hod-ka sred pri-ro-da-ta shte ti po-deyst-va do-bre.,Maybe a walk in nature would help.
 Psychology convo,Звучи приятно. Обичам спокойни места.,Zvuchi pri-yat-no. O-bi-cham spo-koyni me-sta.,Sounds nice. I love peaceful places.
 Psychology convo,Важно е да се грижиш за себе си.,Vazh-no e da se gri-zhish za se-be si.,It’s important to take care of yourself.
 Psychology convo,"Понякога се чувствам виновен, когато си почивам.","Po-nyak-o-ga se chuvs-tvam vi-nov-en, ko-ga-to si po-chi-vam.",Sometimes I feel guilty when I rest.
 Psychology convo,"Почивката не е слабост, а необходимост.","Po-chi-vka-ta ne e slab-ost, a ne-ob-ho-di-most.","Rest is not weakness, it’s a necessity."
 Psychology convo,Имаш ли свои начини за справяне със стреса?,I-mash li svo-i na-chi-ni za spra-vya-ne sŭs stre-sa?,Do you have your own ways of coping with stress?
 Psychology convo,Обичам да слушам музика и да чета.,O-bi-cham da slu-sham mu-zi-ka i da che-ta.,I like listening to music and reading.
 Psychology convo,Музиката наистина успокоява.,Mu-zi-ka-ta na-is-ti-na us-po-ko-yava.,Music really soothes me.
 Psychology convo,Понякога просто трябва да си дадем време.,Po-nyak-o-ga pros-to tryab-va da si da-dem vre-me.,Sometimes we just need to give ourselves time.
 Psychology convo,"Благодаря ти, че ме изслуша.","Bla-go-da-rya ti, che me iz-slu-sha.",Thank you for listening to me.
 Psychology convo,"Винаги съм тук, ако имаш нужда.","Vi-na-gi sŭm tuk, a-ko i-mash nu-zhda.",I’m always here if you need me.
 Psychology convo,Това значи много за мен.,To-va zna-chi mno-go za men.,That means a lot to me.
 Psychology convo,Грижата един за друг ни прави по-силни.,Gri-zha-ta e-din za drug ni pra-vi po-sil-ni.,Caring for each other makes us stronger.
Sports,Играеш ли футбол?,Igrayesh li futbol?,Do you play football?
